50,gnoll4,ゾンビノール,27,320,152,51,30,15,0,25,61,40,1,,,ヘルアーマーレッグス,ヘルアーマーチェスト,まどろみの脚鎧,
50,gnoll4,ゾンビノール,27,320,152,51,30,15,0,25,61,40,1,,,ヘルアーマーアームズ,ヘルアーマーヘルム,刃の胸鎧,
50,minidevil4,ミニアークデーモン,27,290,154,50,25,20,20,45,65,49,5,,ハイポーション,炎の翼,メルトダウンリング,メガリング,
50,minidevil4,ミニアークデーモン,27,290,154,50,25,20,20,45,65,49,5,,,炎の翼,殺意の首輪,崩壊の首輪,
50,kama,カマキリン,28,304,163,51,33,0,13,0,62,51,0,,ハイポーション,,月影,時雨,
50,kama,カマキリン,28,304,163,51,33,0,13,0,62,51,0,,,,ライトセーバー,サイバーソード,
50,puku,ぷくぷく,28,308,156,52,20,0,30,0,63,49,2,,,偉大なる腕輪,癒しの杖,神秘の衣,
50,puku,ぷくぷく,28,308,156,52,20,0,30,0,63,49,2,,,真実の王冠,韋駄天の靴,テルテル坊主,
50,golem,ゴーレム,29,300,152,60,10,0,0,20,64,52,4,,,聖なる脚鎧,聖なる盾,聖なる胸鎧,
50,golem,ゴーレム,29,300,152,60,10,0,0,20,64,52,4,,,聖なる腕鎧,聖なる兜,聖なる剣,
50,harpy3,フェニックス,29,310,156,54,10,50,0,10,65,53,1,,,フェニックスソード,フェニックスレッグス,フェニックスチュニック,
50,harpy3,フェニックス,29,310,156,54,10,50,0,10,65,53,1,,,フェニックスフード,フェニックススリーブス,フェニックスブレード,
50,liche2,スペクター,29,312,157,55,10,20,10,35,66,56,3,,,清浄の杖,清浄の衣,清浄の盾,
50,liche2,スペクター,29,312,157,55,10,20,10,35,66,56,3,,,清浄の腕輪,清浄の冠,清浄のはかま,
