30,gobkni,ゴブリンナイト,5,42,19,7,40,0,0,20,7,6,0,,,,ブロードソード,,
70,gobass,ゴブリンアサシン,6,55,22,9,15,0,0,25,9,7,0,,奇妙な翼,,ポーション,,
100,gobmage,ゴブリンメイジ,7,50,15,0,20,10,10,12,9,8,5,,,,黄ローブ,,
50,gobguard,ゴブリンガード,8,50,19,10,20,10,10,10,14,20,0,,,ゴブリンシールド,,,
100,sphere,スフィア,6,40,20,6,30,0,0,0,10,9,4,,,ゴールデンボール,,,
4,gobqueen,ゴブリンクィーン,10,62,27,8,15,10,10,20,18,30,3,,,古呪文書,ゴブリンスキンチュニック,クィーンケープ,
100,tyou,極悪蝶,8,56,23,8,30,0,0,0,10,10,0,,,,,蝶紋の盾,
20,gobking,ゴブリンキング,12,80,30,12,10,8,8,10,24,38,0,ハイポーション,沈黙のカップ,ブラックアームズ,キングスピア,ゴブリンスキンフード,
100,sword,邪ソード,7,50,25,2,40,0,0,0,10,9,0,,,斬馬刀,ジャックナイフ,,
100,gobpet,ゴブリンペット,8,53,24,7,15,0,0,0,14,11,0,,奇妙な翼,チェインレッグス,裁きの鎧,破壊の指輪,
