40,slimewing,羽根スライム,16,163,87,25,14,4,0,3,33,26,0,,ハイポーション,,ライトニングナイフ,ブラッドヘルム,
100,koboruto,コボルト,15,160,86,24,15,20,0,3,31,25,1,,,不思議な翼,ブラッドシールド,ブラッドチェスト,
100,mamusi,マムシ,15,162,88,25,40,4,5,0,32,26,1,,,,マムシフード,ブラッドレッグス,
100,waguma,月の輪熊,16,165,92,24,30,0,0,0,34,27,0,,,,黒熊の被り物,ブラックベアクロー,
100,koboruto2,コボルトシャーマン,16,155,86,22,21,4,4,22,32,26,5,,,,スカルシールド,シャーマンスピア,
50,koboruto3,コボルトウィザード,17,160,90,26,26,10,10,10,32,28,4,,,,洗礼の首飾り,ブラッドガントレット,
20,hand2,ヘルハンド,18,193,91,28,4,2,0,25,34,40,3,ポーション,スクリームロッド,奇跡の槍,地獄の腕輪,アダマンタイトリング,
1,uni2,ペガサス,20,243,93,40,1000,0,0,0,134,140,2,,,,秘伝書『鳳凰』,秘伝書『鳳凰』,
1,dhuran,デュラン,86,420,166,43,150,10,10,30,70,100,1,,皆殺しの剣,ダークソード,ダークエルフの首飾り,ダークエルフの指輪,
1,uni3,クーガ,20,303,93,40,1000,0,0,0,164,180,2,,,,秘伝書『鳳凰』,秘伝書『鳳凰』,
1,uni4,カーシー,20,353,123,40,1000,0,0,0,194,210,3,,,,秘伝書『鳳凰』,秘伝書『鳳凰』,
