20,gob,ゴブリン,4,30,17,4,50,0,0,20,5,5,0,,,ゴブリンスキンスリーブス,,,
70,gobkni,ゴブリンナイト,5,42,19,7,40,0,0,20,7,6,0,,,,ブロードソード,ナイトソード,
100,gobass,ゴブリンアサシン,6,55,22,9,15,0,0,25,9,7,0,,,ブロンズヘルム,ポーション,ゴブリンクロウ,
100,gobmage,ゴブリンメイジ,7,50,15,0,20,10,10,12,9,8,5,,,ゴブリンスタッフ,黄ローブ,,
80,kutibiru,くちびる野郎,6,45,20,8,35,0,0,0,9,8,0,,,,ポーション,花粉症マスク,
50,hana,闇チューリップ,7,55,24,5,31,0,8,0,10,9,0,,,フラワーヘルム,不思議な翼,,
40,gobguard,ゴブリンガード,8,50,19,10,20,10,10,10,14,20,0,,ゴブリンネックレス,ゴブリンシールド,ブロンズシールド,,
100,sphere,スフィア,6,40,20,6,30,0,0,0,10,9,4,,,ゴールデンボール,チェインメイル,,
20,gobqueen,ゴブリンクィーン,10,62,27,8,15,10,10,20,18,30,3,ミドルポーション,ゴブリンダガー,古呪文書,綺麗な首飾り,クィーンケープ,
100,tyou,極悪蝶,8,56,23,8,30,0,0,0,10,10,0,,奇妙な翼,,,蝶紋の盾,
