100,rokuro,ろくろ首,26,295,140,47,30,0,0,0,58,46,0,,,,黄金の首輪,古びた首輪,
50,keru,ケルベロス,26,299,145,45,27,20,0,25,57,50,1,,,,ケルベロスのズボン,ケルベロスの被り物,
50,keru,ケルベロス,26,299,145,45,27,20,0,25,57,50,1,,,,ケルベロスの服,ケルベロスの腕,
100,denden,でんでん,27,305,142,48,35,30,0,15,58,49,0,,,でんでん太鼓,輝く指輪,でんでんリング,
100,skegiant2,グレーターボーン,27,350,133,48,41,30,0,15,59,47,0,,,幸福の輪,グレートボーンソード,グレートボーンシールド,
100,gero,ゲロッパ,27,303,144,50,40,0,0,15,60,48,1,,,,ゲロゲロスタッフ,光翼のブレスレット,
30,asyura,アシュラ像,28,320,145,52,0,20,20,15,75,56,5,ハイポーション,炎の翼,アシュラの仮面,草薙,村正,
1,lichem,ミニリッチ,33,420,140,50,1000,0,0,50,275,256,3,,,,,,
1,lichem2,ブラッディリッチ,33,620,220,50,1000,0,0,50,295,296,3,,,,,,
1,lichem3,ブラックミニリッチ,33,620,220,50,1000,0,0,50,295,296,3,,,,,,
